game_id,home_team,away_team,home_points,away_points,total_points,margin,provider,closing_spread,ats_result,closing_ou,ou_result,home_ml,ml_result
401866418,Ohio,Jacksonville State,29,27,56,2,betmgm,-2.0,push,49.5,over,-120.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,betonlineag,1.0,home_cover,50.0,over,-125.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,betrivers,-2.0,push,50.0,over,-130.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,betus,-1.0,home_cover,50.0,over,-125.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,bovada,-2.0,push,49.5,over,-125.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,draftkings,-1.5,home_cover,49.5,over,-125.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,fanduel,-1.5,home_cover,49.5,over,-120.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,lowvig,1.0,home_cover,48.5,over,-125.0,home_win
401866418,Ohio,Jacksonville State,29,27,56,2,mybookieag,-2.0,push,50.0,over,-127.0,home_win
401907853,Alfred State,Hilbert,57,12,69,45,none,,,,,,
401866421,Western Michigan,Monmouth,49,14,63,35,Bovada,-28.5,home_cover,54.5,over,,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,DraftKings,-29.5,home_cover,54.5,over,-5000.0,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,betmgm,-29.5,home_cover,54.5,over,-5000.0,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,betonlineag,-29.0,home_cover,53.5,over,,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,betrivers,-29.5,home_cover,54.5,over,-10000.0,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,bovada,-28.5,home_cover,54.5,over,,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,draftkings,-29.5,home_cover,54.5,over,-5000.0,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,fanduel,-29.5,home_cover,54.5,over,-10000.0,home_win
401866421,Western Michigan,Monmouth,49,14,63,35,lowvig,-29.0,home_cover,53.5,over,,home_win
401907538,East Stroudsburg,Slippery Rock,35,59,94,-24,none,,,,,,
401868236,McNeese,Tarleton State,24,27,51,-3,DraftKings,19.5,home_cover,56.5,under,690.0,away_win
401907635,Minnesota State,Bemidji State,30,13,43,17,none,,,,,,
401908766,Wisconsin Lutheran,Ripon,25,24,49,1,none,,,,,,
401909018,Shenandoah,Geneva,48,14,62,34,none,,,,,,
401907315,UT Permian Basin,Western New Mexico,69,14,83,55,none,,,,,,
401864503,Northern Illinois,Illinois State,24,28,52,-4,Bovada,2.5,away_cover,48.0,over,175.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,DraftKings,2.5,away_cover,47.5,over,124.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,betmgm,3.0,away_cover,48.5,over,120.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,betonlineag,2.5,away_cover,49.0,over,,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,betrivers,3.0,away_cover,47.5,over,120.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,bovada,2.5,away_cover,48.0,over,120.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,draftkings,2.5,away_cover,47.5,over,124.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,fanduel,3.5,away_cover,47.5,over,122.0,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,lowvig,2.5,away_cover,49.0,over,,away_win
401864503,Northern Illinois,Illinois State,24,28,52,-4,mybookieag,3.0,away_cover,,,119.0,away_win
401908276,Belhaven,East Texas Baptist,45,44,89,1,none,,,,,,
401908242,Benedictine (IL),Loras,28,25,53,3,none,,,,,,
401908142,Northwestern (MN),Central College,27,51,78,-24,none,,,,,,
401906878,Ashland,Grand Valley State,10,20,30,-10,none,,,,,,
401908326,Oklahoma Panhandle,Schreiner,47,29,76,18,none,,,,,,
401906554,Henderson State,Oklahoma Baptist,66,9,75,57,none,,,,,,
401906571,Southeastern Oklahoma State,Ouachita Baptist,17,23,40,-6,none,,,,,,
401906579,Southern Arkansas,Southern Nazarene,27,21,48,6,none,,,,,,
401906840,Kentucky Wesleyan,William Jewell,14,35,49,-21,none,,,,,,
401872616,South Dakota State,New Haven,57,14,71,43,DraftKings,-42.5,home_cover,54.5,over,,home_win
401868246,Nicholls,UT Rio Grande Valley,31,28,59,3,DraftKings,5.5,home_cover,50.5,over,184.0,home_win
401868072,Central Arkansas,Central Oklahoma,59,20,79,39,none,,,,,,
401907220,Missouri S&T,Missouri Western,30,42,72,-12,none,,,,,,
401908427,Texas Lutheran,Southwestern U,19,10,29,9,none,,,,,,
401864575,Tulane,South Alabama,28,24,52,4,Bovada,-10.0,away_cover,48.0,over,-420.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,DraftKings,-9.5,away_cover,48.5,over,-360.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,betmgm,-9.5,away_cover,47.5,over,-350.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,betonlineag,-9.0,away_cover,48.0,over,-360.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,betrivers,-9.5,away_cover,48.5,over,-385.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,betus,-9.0,away_cover,48.0,over,-360.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,bovada,-10.0,away_cover,48.0,over,-400.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,draftkings,-9.5,away_cover,48.5,over,-360.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,fanduel,-9.5,away_cover,48.5,over,-350.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,lowvig,-9.0,away_cover,48.0,over,-360.0,home_win
401864575,Tulane,South Alabama,28,24,52,4,mybookieag,-9.5,away_cover,48.0,over,-391.0,home_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,Bovada,-7.5,away_cover,55.5,under,-360.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,DraftKings,-7.5,away_cover,55.5,under,-298.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,betmgm,-7.5,away_cover,55.5,under,-300.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,betonlineag,-7.0,away_cover,55.5,under,-300.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,betrivers,-8.0,away_cover,55.5,under,-335.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,betus,-7.0,away_cover,55.5,under,-300.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,bovada,-7.5,away_cover,55.5,under,-310.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,draftkings,-7.0,away_cover,55.5,under,-298.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,fanduel,-7.5,away_cover,55.5,under,-310.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,lowvig,-7.0,away_cover,55.5,under,-300.0,away_win
401869955,Kennesaw State,Georgia State,17,31,48,-14,mybookieag,-7.5,away_cover,55.5,under,-300.0,away_win
401856787,Houston,Southern,77,6,83,71,Bovada,-52.0,home_cover,62.0,over,,home_win
401856787,Houston,Southern,77,6,83,71,DraftKings,-51.5,home_cover,61.5,over,,home_win
401856787,Houston,Southern,77,6,83,71,betmgm,-52.0,home_cover,61.5,over,,home_win
401856787,Houston,Southern,77,6,83,71,betonlineag,-52.0,home_cover,62.0,over,,home_win
401856787,Houston,Southern,77,6,83,71,betrivers,-51.5,home_cover,61.5,over,,home_win
401856787,Houston,Southern,77,6,83,71,bovada,-52.0,home_cover,62.0,over,,home_win
401856787,Houston,Southern,77,6,83,71,draftkings,-51.5,home_cover,61.5,over,,home_win
401856787,Houston,Southern,77,6,83,71,fanduel,-51.5,home_cover,61.5,over,,home_win
401856787,Houston,Southern,77,6,83,71,lowvig,-52.0,home_cover,62.0,over,,home_win
401869150,Houston Christian,Arkansas Baptist,88,0,88,88,none,,,,,,
401868355,Alcorn State,Arkansas-Pine Bluff,53,51,104,2,DraftKings,-8.5,away_cover,49.5,over,-346.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,Bovada,-13.0,away_cover,56.0,under,-750.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,DraftKings,-12.5,away_cover,55.5,under,-535.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,betmgm,-13.0,away_cover,55.5,under,-525.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,betonlineag,-13.0,away_cover,56.0,under,-500.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,betrivers,-13.5,away_cover,56.0,under,-625.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,betus,-13.0,away_cover,55.5,under,-500.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,bovada,-13.0,away_cover,56.0,under,-600.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,draftkings,-12.5,away_cover,55.5,under,-535.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,fanduel,-12.5,away_cover,55.5,under,-490.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,lowvig,-13.0,away_cover,56.0,under,-500.0,home_win
401871045,Marshall,Middle Tennessee,28,26,54,2,mybookieag,-12.5,away_cover,55.5,under,-561.0,home_win
401908670,Otterbein,Heidelberg,0,38,38,-38,none,,,,,,
401908567,Illinois College,Lyon,14,21,35,-7,none,,,,,,
401868150,SE Louisiana,North Alabama,30,25,55,5,DraftKings,-6.5,away_cover,51.5,over,-204.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,Bovada,-30.5,home_cover,49.5,over,-10000.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,DraftKings,-30.5,home_cover,49.5,over,-6500.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,betmgm,-30.5,home_cover,49.5,over,-10000.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,betonlineag,-31.5,home_cover,49.5,over,-10000.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,betrivers,-30.5,home_cover,50.5,over,,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,betus,-31.0,home_cover,49.0,over,,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,bovada,-30.5,home_cover,49.5,over,-10000.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,draftkings,-30.5,home_cover,49.5,over,-6500.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,fanduel,-30.5,home_cover,50.5,over,-20000.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,lowvig,-31.0,home_cover,49.5,over,-10000.0,home_win
401858441,Nebraska,Bowling Green,56,7,63,49,mybookieag,-30.5,home_cover,49.5,over,-10000.0,home_win
401908434,Trinity (TX),McMurry,31,17,48,14,none,,,,,,
401856681,Georgia Tech,Tennessee,24,45,69,-21,Bovada,12.0,away_cover,55.5,over,390.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,DraftKings,12.5,away_cover,55.5,over,380.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,betmgm,12.0,away_cover,55.5,over,380.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,betonlineag,12.5,away_cover,55.5,over,377.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,betrivers,12.0,away_cover,55.5,over,390.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,betus,12.5,away_cover,55.5,over,382.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,bovada,12.0,away_cover,55.5,over,370.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,draftkings,12.5,away_cover,55.5,over,380.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,fanduel,11.5,away_cover,55.5,over,375.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,lowvig,12.0,away_cover,55.5,over,377.0,away_win
401856681,Georgia Tech,Tennessee,24,45,69,-21,mybookieag,12.0,away_cover,55.5,over,360.0,away_win
401868241,Arkansas State,West Georgia,52,7,59,45,Bovada,-31.5,home_cover,56.0,over,,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,DraftKings,-31.5,home_cover,56.5,over,-10000.0,home_win
